iter	Passed	Remaining
159	355	1865
160	356	1856
161	357	1847
162	357	1838
163	358	1829
164	359	1821
165	363	1825
166	364	1820
167	365	1811
168	366	1803
169	367	1794
170	368	1786
171	369	1779
172	370	1771
173	371	1763
174	372	1756
175	373	1748
176	374	1741
177	376	1738
178	379	1739
179	380	1732
180	380	1723
181	381	1716
182	382	1708
183	383	1701
184	384	1694
185	385	1687
186	386	1681
187	387	1674
188	388	1667
189	389	1660
190	390	1654
191	392	1649
192	393	1643
193	394	1637
194	394	1630
195	395	1623
196	396	1617
197	397	1610
198	398	1604
199	399	1597
200	400	1591
201	401	1585
202	402	1579
203	403	1573
204	404	1567
205	405	1562
206	407	1560
207	408	1554
208	409	1548
209	410	1542
210	411	1536
211	411	1530
212	412	1525
213	413	1519
214	414	1514
215	415	1508
216	416	1503
217	417	1498
218	418	1492
219	420	1489
220	422	1488
221	423	1483
222	424	1478
223	425	1472
224	426	1467
225	426	1462
226	427	1456
227	428	1451
228	429	1445
229	430	1440
230	431	1435
231	432	1430
232	433	1425
233	434	1421
234	435	1418
235	436	1414
236	437	1409
237	438	1404
238	439	1399
239	440	1394
240	441	1389
241	442	1385
242	443	1380
243	443	1375
244	444	1370
245	445	1366
246	446	1361
247	447	1357
248	448	1353
249	450	1351
250	452	1349
251	453	1345
252	454	1340
253	455	1336
254	456	1332
255	457	1328
256	458	1324
257	458	1320
258	459	1315
259	460	1311
260	461	1307
261	463	1304
262	465	1303
263	466	1301
264	468	1298
265	469	1295
266	470	1291
267	471	1287
268	472	1283
269	473	1279
270	474	1275
271	475	1272
272	476	1268
273	477	1265
274	479	1263
275	480	1259
276	481	1257
277	482	1253
278	483	1249
279	484	1245
280	485	1242
281	486	1239
282	488	1237
283	490	1236
284	491	1234
285	493	1231
286	494	1228
287	496	1226
288	497	1223
289	498	1219
290	499	1216
291	500	1212
292	501	1209
293	502	1206
294	503	1203
295	504	1200
296	505	1197
297	506	1193
298	507	1190
299	508	1186
300	509	1183
301	510	1180
302	511	1176
303	512	1173
304	513	1169
305	514	1166
306	515	1163
307	516	1160
308	517	1157
309	518	1154
310	519	1151
311	520	1147
312	521	1145
313	522	1142
314	523	1138
315	524	1135
316	525	1132
317	526	1128
318	527	1125
319	528	1122
320	529	1119
321	530	1116
322	530	1112
323	531	1109
324	532	1106
325	533	1103
326	534	1100
327	536	1098
328	537	1096
329	538	1094
330	540	1091
331	541	1088
332	542	1085
333	542	1082
334	543	1079
335	544	1076
336	545	1073
337	546	1070
338	547	1067
339	548	1064
340	549	1061
341	550	1059
342	552	1057
343	555	1059
344	556	1056
345	557	1053
346	558	1050
347	559	1047
348	560	1044
349	560	1041
350	561	1038
351	562	1035
352	563	1033
353	564	1030
354	566	1030
355	570	1031
356	571	1029
357	572	1026
358	573	1023
359	574	1020
360	575	1017
361	575	1015
362	576	1012
363	577	1009
364	578	1007
365	580	1005
366	582	1004
367	583	1002
368	584	999
369	585	996
370	586	994
371	587	991
372	588	988
373	589	986
374	590	983
375	591	980
376	591	978
377	592	975
378	594	973
379	596	973
380	598	972
381	599	969
382	600	967
383	601	964
384	602	962
385	603	959
386	604	957
387	605	954
388	606	951
389	607	949
390	608	947
391	610	946
392	611	943
393	611	941
394	612	938
395	613	936
396	614	933
397	615	931
398	616	928
399	617	926
400	618	923
401	619	921
402	620	918
403	620	916
404	622	913
405	623	911
406	625	910
407	626	908
408	627	906
409	628	903
410	628	901
411	629	898
412	630	896
413	631	894
414	632	891
415	633	889
416	634	886
417	635	884
418	636	882
419	637	880
420	639	879
421	640	877
422	641	875
423	642	872
424	643	870
425	644	868
426	645	865
427	646	863
428	646	861
429	647	858
430	648	856
431	649	854
432	650	852
433	651	849
434	653	848
435	654	846
436	655	844
437	656	841
438	656	839
439	657	837
440	658	834
441	659	832
442	660	830
443	661	828
444	662	825
445	663	823
446	664	821
447	665	819
448	666	817
449	667	815
450	668	813
451	669	811
452	670	809
453	671	807
454	671	804
455	672	802
456	673	800
457	674	798
458	675	796
459	676	794
460	677	792
461	678	789
462	679	787
463	680	785
464	681	783
465	682	781
466	683	779
467	684	777
468	684	775
469	685	773
470	686	771
471	687	769
472	688	767
473	689	765
474	690	763
475	691	761
476	692	758
477	693	756
478	693	754
479	694	752
480	695	750
481	696	748
482	697	746
483	698	744
484	699	742
485	700	740
486	701	738
487	702	736
488	702	734
489	703	732
490	704	730
491	705	728
492	706	726
493	707	724
494	708	722
495	709	720
496	710	718
497	711	716
498	712	714
499	712	712
500	713	711
501	714	709
502	715	707
503	716	705
504	717	703
505	718	701
506	719	699
507	720	697
508	721	695
509	722	693
510	723	692
511	724	690
512	725	688
513	726	686
514	727	684
515	728	683
516	729	681
517	730	679
518	731	677
519	732	675
520	733	674
521	734	672
522	734	670
523	735	668
524	736	666
525	737	664
526	738	663
527	739	661
528	740	659
529	741	657
530	742	655
531	743	653
532	744	652
533	745	650
534	746	648
535	747	646
536	748	644
537	748	643
538	749	641
539	750	639
540	751	637
541	752	636
542	753	634
543	754	632
544	755	630
545	756	628
546	757	627
547	758	625
548	759	623
549	759	621
550	760	619
551	761	618
552	762	616
553	763	614
554	764	612
555	765	611
556	766	609
557	767	607
558	768	605
559	769	604
560	769	602
561	770	600
562	771	598
563	772	597
564	773	595
565	774	593
566	775	592
567	776	590
568	777	588
569	777	586
570	778	585
571	779	583
572	780	581
573	781	580
574	782	578
575	783	576
576	784	575
577	785	573
578	786	571
579	787	570
580	788	568
581	789	566
582	789	564
583	790	563
584	791	561
585	792	559
586	793	558
587	794	556
588	795	554
589	796	553
590	797	551
591	797	549
592	798	548
593	799	546
594	800	545
595	801	543
596	802	541
597	803	540
598	804	538
599	805	536
600	806	535
601	807	533
602	808	532
603	809	530
604	809	528
605	810	527
606	811	525
607	812	524
608	813	522
609	814	520
610	815	519
611	816	517
612	817	515
613	818	514
614	819	512
615	819	511
616	820	509
617	821	507
618	822	506
619	823	504
620	824	503
621	825	501
622	826	500
623	827	498
624	828	496
625	829	495
626	829	493
627	830	492
628	831	490
629	832	488
630	833	487
631	834	485
632	835	484
633	836	482
634	837	481
635	838	479
636	839	478
637	840	476
638	841	475
639	842	473
640	843	472
641	843	470
642	844	469
643	845	467
644	846	465
645	847	464
646	848	462
647	849	461
648	850	459
649	851	458
650	852	457
651	853	455
652	854	453
653	855	452
654	855	450
655	856	449
656	857	447
657	858	446
658	859	444
659	860	443
660	861	441
661	862	440
662	863	438
663	864	437
664	865	435
665	866	434
666	867	432
667	867	431
668	868	429
669	869	428
670	870	426
671	871	425
672	872	423
673	873	422
674	874	420
675	875	419
676	876	418
677	877	416
678	878	415
679	878	413
680	879	412
681	880	410
682	881	409
683	882	407
684	883	406
685	884	404
686	885	403
687	886	401
688	887	400
689	888	399
690	889	397
691	889	396
692	890	394
693	891	393
694	892	391
695	893	390
696	894	388
697	895	387
698	896	386
699	897	384
700	898	383
701	899	381
702	900	380
703	901	378
704	901	377
705	902	375
706	903	374
707	904	372
708	905	371
709	906	370
710	907	368
711	908	367
712	908	365
713	909	364
714	910	363
715	911	361
716	912	360
717	913	358
718	914	357
719	915	356
720	916	354
721	917	353
722	918	351
723	919	350
724	920	349
725	921	347
726	922	346
727	922	344
728	923	343
729	924	342
730	925	340
731	926	339
732	927	337
733	928	336
734	929	335
735	930	333
736	931	332
737	932	330
738	933	329
739	934	328
740	934	326
741	935	325
742	936	324
743	937	322
744	938	321
745	939	319
746	940	318
747	941	317
748	942	315
749	943	314
750	944	313
751	944	311
752	945	310
753	946	308
754	947	307
755	948	306
756	949	304
757	950	303
758	951	302
759	952	300
760	953	299
761	954	298
762	955	296
763	956	295
764	957	294
765	958	292
766	958	291
767	959	289
768	960	288
769	961	287
770	962	285
771	963	284
772	964	283
773	965	281
774	966	280
775	967	279
776	968	277
777	968	276
778	969	275
779	970	273
780	971	272
781	972	271
782	973	269
783	974	268
784	975	267
785	976	265
786	977	264
787	978	263
788	979	261
789	980	260
790	981	259
791	982	258
792	985	257
793	988	256
794	990	255
795	993	254
796	995	253
797	996	252
798	997	251
799	999	249
800	1000	248
801	1001	247
802	1002	245
803	1003	244
804	1004	243
805	1005	241
806	1006	240
807	1009	239
808	1010	238
809	1011	237
810	1012	235
811	1013	234
812	1014	233
813	1015	232
814	1016	230
815	1017	229
816	1018	228
817	1019	226
818	1020	225
819	1021	224
820	1023	223
821	1024	221
822	1025	220
823	1026	219
824	1027	218
825	1028	216
826	1030	215
827	1031	214
828	1032	212
829	1033	211
830	1034	210
831	1035	209
832	1036	207
833	1038	206
834	1038	205
835	1039	204
836	1040	202
837	1041	201
838	1042	200
839	1043	198
840	1044	197
841	1045	196
842	1046	194
843	1047	193
844	1048	192
845	1049	191
846	1051	189
847	1052	188
848	1053	187
849	1055	186
850	1056	184
851	1057	183
852	1058	182
853	1058	181
854	1059	179
855	1060	178
856	1061	177
857	1062	175
858	1063	174
859	1064	173
860	1065	171
861	1066	170
862	1067	169
863	1068	168
864	1069	166
865	1070	165
866	1071	164
867	1072	163
868	1073	161
869	1073	160
870	1074	159
871	1075	157
872	1076	156
873	1077	155
874	1078	154
875	1079	152
876	1080	151
877	1083	150
878	1084	149
879	1085	147
880	1086	146
881	1087	145
882	1088	144
883	1089	142
884	1090	141
885	1090	140
886	1091	139
887	1092	137
888	1093	136
889	1095	135
890	1096	134
891	1097	132
892	1098	131
893	1099	130
894	1100	129
895	1101	127
896	1102	126
897	1103	125
898	1104	124
899	1104	122
900	1105	121
901	1106	120
902	1107	118
903	1108	117
904	1109	116
905	1110	115
906	1112	114
907	1113	112
908	1114	111
909	1114	110
910	1115	109
911	1116	107
912	1117	106
913	1118	105
914	1119	103
915	1120	102
916	1121	101
917	1122	100
918	1123	98
919	1124	97
920	1125	96
921	1126	95
922	1127	94
923	1128	92
924	1129	91
925	1130	90
926	1131	89
927	1132	87
928	1133	86
929	1134	85
930	1134	84
931	1135	82
932	1136	81
933	1137	80
934	1138	79
935	1139	77
936	1140	76
937	1142	75
938	1142	74
939	1143	73
940	1144	71
941	1145	70
942	1146	69
943	1147	68
944	1148	66
945	1149	65
946	1150	64
947	1151	63
948	1152	61
949	1153	60
950	1153	59
951	1155	58
952	1156	57
953	1157	55
954	1158	54
955	1159	53
956	1160	52
957	1160	50
958	1161	49
959	1162	48
960	1163	47
961	1164	46
962	1165	44
963	1166	43
964	1167	42
965	1168	41
966	1169	39
967	1170	38
968	1171	37
969	1172	36
970	1173	35
971	1174	33
972	1175	32
973	1176	31
974	1177	30
975	1178	28
976	1179	27
977	1180	26
978	1181	25
979	1182	24
980	1183	22
981	1184	21
982	1185	20
983	1186	19
984	1187	18
985	1188	16
986	1189	15
987	1190	14
988	1191	13
989	1192	12
990	1193	10
991	1194	9
992	1195	8
993	1196	7
994	1196	6
995	1197	4
996	1198	3
997	1200	2
998	1201	1
999	1202	0
